appearance_count,token,length
366,"trên thị",2
366,"ca sĩ",2
365,"từ đầu",2
365,"dự báo",2
365,"bên trong",2
365,"ông nguyễn",2
364,"ra các",2
364,"bao giờ",2
364,"để lạm",2
363,"các tỉnh",2
363,"sáng lập",2
363,ghé,1
362,"cho những",2
362,"bất cứ",2
362,"qua các",2
361,"luật sư",2
361,"ngân sách",2
360,"tốt nhất",2
360,"trên toàn",2
360,"rõ ràng",2
360,"kỳ vọng",2
360,"các đơn vị",3
359,"hạt nhân",2
359,"mở cửa",2
359,"khai thác",2
358,"cáo của",2
358,"nga và",2
358,"số người",2
358,"vợ chồng",2
358,"các vấn đề",3
358,"cha mẹ",2
358,"phó chủ",2
358,"hàng ngày",2
358,"nhà khoa",2
358,"đóng hộ",2
357,"thành một",2
357,hẹn,1
356,răn,1
356,"mức giá",2
355,"cũng cho",2
355,"nghệ thuật",2
354,"hâm mộ",2
354,"số này",2
354,"nghệ sĩ",2
353,"cung ứng",2
353,"mặt với",2
353,"lãnh thổ",2
353,"những gì",2
353,"đe dọa",2
353,"giải thưởng",2
352,"nhà khoa học",3
352,"bình dương",2
352,"với nhiều",2
352,"tỷ phú",2
352,ôtô,1
352,"trên thị trường",3
351,"trải qua",2
351,"và lạm",2
351,"và được",2
350,"quản trị",2
350,"đáng kể",2
350,"lo lắng",2
349,"cũng có thể",3
349,"căng thẳng",2
349,"đổi khi",2
349,"tiết lộ",2
348,"thảo luận",2
348,"kịp thời",2
348,"người đàn ông",3
348,"và nhận",2
347,"tích quốc",2
347,khích,1
347,"sân bay",2
347,"trong giai",2
347,"thay thế",2
347,"trong tương",2
346,"dân tộc",2
346,nhượng,1
346,"trên các",2
346,"bộ phận",2
346,"cao tốc",2
346,"tiếng anh",2
345,"chủ động",2
345,"vận chuyển",2
345,"ý nghĩa",2
345,thôn,1
344,"ưu tiên",2
344,"với công",2
344,ceo,1
343,"tháng 3",2
343,"vẫn có",2
343,kêu,1
343,"giải trí",2
343,"tới sẽ",2
343,"của những",2
343,sợi,1
342,"các dự án",3
342,"chắc chắn",2
342,"một lần",2
341,"từ những",2
341,"xung quanh",2
340,"các đồng",2
340,"tín dụng",2
340,"tham dự",2
339,"đồ ăn",2
339,"toàn diện",2
339,"phản ứng",2
339,"mặc dù",2
339,"tiêu cực",2
339,"triển kinh",2
338,"phát triển kinh",3
338,"quy trình",2
338,"chưa được",2
337,ngừa,1
337,"người hâm",2
337,"sự quan",2
336,"vị thế",2
336,"đông nam",2
335,"phụ thuộc",2
335,"biến động",2
334,"ký hợp",2
334,đứt,1
334,"giải thích",2
334,"hơn nữa",2
334,"là sự",2
333,"dầu của",2
333,"đều có",2
333,"trên mạng",2
333,"thông minh",2
333,"phổ thông",2
333,"sự cố",2
333,tiệc,1
333,"học phí",2
332,"danh sách",2
332,"hội và",2
332,mừng,1
332,"làm rõ",2
332,"người hâm mộ",3
332,"hậu quả",2
331,"viên của",2
331,"sự nghiệp",2
331,"trái phiếu",2
331,"những ngày",2
331,"phó chủ tịch",3
330,bom,1
330,đeo,1
330,"thương vụ",2
330,"về những",2
330,"dùng và",2
330,"và sự",2
330,"đà tăng",2
330,"viêm gan",2
329,"khi các",2
329,"nếu không",2
329,"thời trang",2
329,"công an tỉnh",3
328,nhảy,1
328,"được bán",2
328,"trong tương lai",3
328,"phương án",2
328,"việc này",2
328,"đại biểu",2
327,"lan và",2
327,"khi được",2
327,"của tôi",2
327,"thanh tra",2
325,"hướng tới",2
325,"được cho là",3
325,"đức và",2
325,"các quy",2
325,băm,1
325,vết,1
324,"đóng góp",2
324,"định hướng",2
324,"yêu thích",2
324,"trong giai đoạn",3
324,"quan sát",2
324,thép,1
323,"tối cũng",2
323,"chủ đề",2
323,"tổng giám",2
323,"của anh",2
323,"và người",2
322,"đơn giản",2
322,"quy hoạch",2
322,"cầu của",2
321,"nhà trường",2
321,"cũng sẽ",2
321,"khác biệt",2
320,"nổi bật",2
320,"tổng giám đốc",3
320,điệp,1
319,rau,1
319,khuôn,1
319,"năm học",2
319,"tịch quốc hội",3
318,"trên địa",2
318,"đưa tin",2
318,"do không",2
318,"mục đích",2
318,"khảo sát",2
317,"trong khu",2
317,"có được",2
317,"phần mềm",2
317,thịnh,1
317,camera,1
316,"các quan",2
315,"trong vòng",2
315,"người bỉ",2
315,"cuộc chiến",2
315,"trung vào",2
315,"từ tháng",2
315,"máy tình",2
315,"học viên",2
315,"cho công",2
315,"văn bản",2
315,"các con",2
314,"nguyễn thị",2
314,"trụ sở",2
314,"vận tải",2
314,"nhà sản",2
314,"những điều",2
314,"và cũng",2
314,hoại,1
314,"trên đường",2
314,"căn cứ",2
314,"khởi tố",2
313,"phức tạp",2
313,"thử nghiệm",2
313,"được các",2
313,"các quốc",2
312,"các biện pháp",3
312,"đại sứ",2
312,"hàng loạt",2
312,"các quốc gia",3
312,"thống nhất",2
312,"là không",2
312,thịt,1
312,"sẽ tiếp",2
312,"nhân của",2
311,"tập trung vào",3
311,"và phân",2
311,"trong cộng",2
310,"ra trong",2
310,"nước và",2
310,"chủ tịch quốc",3
309,"trong nhà",2
309,"tổng cộng",2
309,nôn,1
309,"ở khu",2
309,"tuần trước",2
309,xong,1
309,"cơ chế",2
308,"đứng đầu",2
308,"trong tháng",2
308,"hấp dẫn",2
308,"mới của",2
308,"hiện trường",2
308,"có dấu",2
308,xâm,1
307,"tìm thấy",2
307,"nhà sản xuất",3
307,"tìm hiểu",2
307,"đổi số",2
306,"trưởng quốc",2
306,nập,1
305,"ca các",2
305,"sinh năm",2
304,"cả nước",2
304,"người đã",2
304,"không phải là",3
304,"tiềm năng",2
304,miếng,1
303,"sinh thái",2
303,"thấy có",2
303,"các thành viên",3
303,"giữa các",2
303,chốt,1
303,pin,1
302,"dụng công",2
302,"được tráng",2
302,"ưu đãi",2
302,"tìm cách",2
302,"đồng ý",2
302,"các khu",2
302,"hoàn thiện",2
302,"triển kinh tế",3
301,in,1
301,"và đạo",2
301,"luận về",2
301,"là nơi",2
301,"lần đầu tiên",3
301,"điều khiển",2
301,"đối mặt với",3
301,cuốn,1
301,"về mặt",2
301,"ty cổ phần",3
301,"vừa qua",2
301,"tuyển sinh",2
300,"gần như",2
300,"liên kết",2
300,"sẽ giúp",2
299,"bảo đảm",2
299,"coi là",2
299,"cho con",2
299,"bạn có thể",3
299,"sở giao",2
299,"mọi thứ",2
298,"sự việc",2
298,"kết luận",2
298,"vũ trụ",2
298,"cô nói",2
298,"trên địa bàn",3
298,rượu,1
298,"khách sạn",2
298,"sự phát",2
298,"lực này",2
297,"mới có",2
297,"đàm phán",2
297,"kỳ thi",2
296,"động thái",2
296,"kể từ khi",3
296,"cân bằng",2
296,"âm nhạc",2
295,ráo,1
295,xoa,1
295,"thủ tục",2
294,chào,1
294,"bùng phát",2
294,"hợp lý",2
293,"giao tranh",2
293,"trong nhiều",2
293,"vẫn còn",2
292,"tổn thương",2
292,"cần phải",2
292,"chỉ còn",2
292,"nghề nghiệp",2
292,"gia ban",2
292,"tuyến đường",2
291,"hai bên",2
291,"ngay cả",2
291,"ý tưởng",2
291,"tồn tại",2
290,"nâng cấp",2
290,"phỏng vấn",2
290,"nam từ",2
290,"cùng kỳ",2
290,mầm,1
290,gương,1
289,"tiếp xúc",2
289,"cuộc họp",2
289,"nói thêm",2
289,"từ chối",2
289,"tại đại",2
289,"phải có",2
288,"thực hiện các",3
288,"con gái",2
288,giết,1
288,nề,1
288,"đà nẵng",2
288,"sự phát triển",3
288,"nhiệt độ",2
288,"và những",2
288,"đi bộ",2
287,"dường như",2
287,"có tinh",2
287,"tiêu thụ",2
286,"được phát",2
286,"du học",2
286,"dụng cơ",2
286,"gọi là",2
286,sút,1
286,"bố ý",2
286,"được thúc",2
286,"hoạt động của",3
286,"tội thiếu",2
285,"xét tuyển",2
285,"ban hành",2
285,"một công",2
285,"diện tích",2
285,"khắc phục",2
285,"tăng cao",2
285,"uy tín",2
284,"gian tới",2
284,"nguy hiểm",2
284,"sẽ tiếp tục",3
284,"ung thư",2
284,"đạo diễn",2
284,"nhưng có",2
283,"trong trong",2
283,"kêu gọi",2
283,"tính đến",2
282,"lợi thế",2
282,"trường chứng",2
282,"tế xã",2
281,"của đại",2
281,"thị trấn",2
280,"chiến tranh",2
280,"nhất thế",2
280,"giá có",2
280,"tại khu",2
280,"viện trợ",2
280,"tại một",2
280,ven,1
280,"khí hậu",2
280,"động từ",2
280,ngột,1
280,"họ đã",2
280,"kiến nghị",2
280,"giá cao",2
279,"bố mẹ",2
279,"một ngày",2
279,"thấp hơn",2
279,"nguyễn văn",2
279,"chiếc xe",2
279,"lệnh trừng phạt",3
279,"lệnh trừng",2
279,tom,1
279,"đầu có",2
278,"có mặt",2
278,"liên hợp",2
278,"tăng lên",2
278,sa,1
277,"việc tại",2
277,"định về",2
277,"có thể là",3
277,"hợp quốc",2
277,"động lực",2
277,"và thúc",2
277,"để thúc",2
277,"hành chính",2
277,"được trang bị",3
276,"cô gái",2
276,"cơ các",2
276,"thể làm",2
276,"địa điểm",2
276,"chặt chẽ",2
276,"trong trường",2
276,"đầu tháng",2
276,"giới chức",2
276,"được điều",2
275,"nhân và",2
